Date Time Temp DewPoint Hum CloudLow CloudMid CloudHigh CloudTot RainMM ProbPrec PrecMM SnowMM SnowTotCM WindDir WindDirDeg WindSpeed WindGst Press Vis Desc
20/04/2018 1 16 10.8 71 0 5 0 5 0 0 0 0 0 NNW 340 21 36 1020 20 Clear-skies
20/04/2018 4 15.9 11.1 73 0 4 0 4 0 0 0 0 0 NNW 342 24 42 1019 20 Clear-skies
20/04/2018 7 18.1 13.1 73 0 0 0 0 0 0 0 0 0 NNW 346 27 39 1018 20 Sunny-skies
20/04/2018 10 22.3 11.4 50 0 0 0 0 0 0 0 0 0 N 356 30 35 1018 20 Sunny-skies
20/04/2018 13 23.7 10.7 44 0 0 0 0 0 0 0 0 0 N 356 32 36 1017 20 Sunny-skies
20/04/2018 16 22.5 10.5 46 0 0 0 0 0 0 0 0 0 NNW 345 28 37 1016 20 Sunny-skies
20/04/2018 19 18.6 10.9 61 0 3 0 3 0 0 0 0 0 NNW 339 25 43 1015 20 Clear-skies
20/04/2018 22 17.1 12 72 0 8 0 8 0 0 0 0 0 NNW 341 24 41 1016 20 Clear-skies
21/04/2018 1 16.7 12 74 0 4 0 4 0 0 0 0 0 NNW 345 17 31 1017 19.8 Clear-skies
21/04/2018 4 16 11.7 76 0 9 0 9 0 0 0 0 0 NE 54 6 13 1017 20 Clear-skies
21/04/2018 7 19.6 12.5 64 0 13 0 13 0 0 0 0 0 S 176 13 19 1019 20 Sunny-skies
21/04/2018 10 22.5 10.7 47 0 21 0 21 0 0 0 0 0 SSE 156 24 28 1020 20 Sunny-skies
21/04/2018 13 23.1 11.3 47 0 12 0 12 0 0 0 0 0 SSE 153 19 22 1020 20 Sunny-skies
21/04/2018 16 23.4 13.6 54 0 8 0 8 0 0 0 0 0 SSE 156 12 14 1019 20 Sunny-skies
21/04/2018 19 20.4 16.3 77 0 4 0 4 0 0 0 0 0 S 176 6 9 1020 20 Clear-skies
21/04/2018 22 17.3 15.4 89 0 3 0 3 0 0 0 0 0 SSW 207 4 6 1021 20 Clear-skies
22/04/2018 1 15.3 13.7 90 0 4 0 4 0 0 0 0 0 W 271 3 7 1020 20 Clear-skies
22/04/2018 4 14.2 12.6 90 0 4 0 4 0 0 0 0 0 WNW 301 5 10 1020 20 Clear-skies
22/04/2018 7 19 13.7 71 0 4 0 4 0 0 0 0 0 NW 310 7 9 1020 20 Sunny-skies
22/04/2018 10 23.2 12.3 50 0 3 0 3 0 0 0 0 0 NNW 330 8 10 1021 20 Sunny-skies
22/04/2018 13 24.7 12.2 46 0 0 0 0 0 0 0 0 0 NNW 332 7 8 1020 20 Sunny-skies
22/04/2018 16 24.7 12.6 47 0 0 0 0 0 0 0 0 0 N 10 6 7 1019 20 Sunny-skies
22/04/2018 19 23.4 16.4 65 0 0 0 0 0 0 0 0 0 NE 54 4 5 1019 20 Clear-skies
22/04/2018 22 17.6 12.6 72 0 0 0 0 0 0 0 0 0 NW 322 1 1 1020 20 Clear-skies
23/04/2018 1 15.8 11.4 75 0 0 0 0 0 0 0 0 0 NNW 344 1 3 1019 20 Clear-skies
23/04/2018 4 14.7 11.1 79 0 0 0 0 0 0 0 0 0 NNE 23 3 6 1019 20 Clear-skies
23/04/2018 7 19.7 11.2 58 0 0 0 0 0 0 0 0 0 N 351 5 7 1019 20 Sunny-skies
23/04/2018 10 24 12 47 0 0 0 0 0 0 0 0 0 NNW 348 10 12 1019 20 Sunny-skies
23/04/2018 13 25.8 12.2 43 0 0 5 5 0 0 0 0 0 N 353 11 13 1018 20 Sunny-skies
23/04/2018 16 25.8 13.4 46 0 0 5 5 0 0 0 0 0 NNE 20 9 10 1017 20 Sunny-skies
23/04/2018 19 23.7 15.3 59 0 0 0 0 0 0 0 0 0 NE 35 7 8 1017 20 Clear-skies
23/04/2018 22 18.6 12.7 69 0 0 0 0 0 0 0 0 0 W 273 1 1 1018 20 Clear-skies
24/04/2018 1 16.2 11.1 72 0 0 0 0 0 0 0 0 0 W 261 4 8 1017 20 Clear-skies
